title;keywords;annotation;class
Dynamic Denoising of Tracking Sequences;"bayes methods; kalman filters; estimation theory; image denoising; image enhancement; image sequences; object detection; wavelet transforms; bayesian wavelet estimation; kalman filter; dynamic image denoising; image recovery; image sequence enhancement; object tracking; bayesian estimation; kalman filtering; predictive tracking; wavelet denoising; algorithms; artifacts; image enhancement; image interpretation, computer-assisted; motion; pattern recognition, automated; reproducibility of results; sensitivity and specificity;""";"In this paper, we describe an approach to the problem of simultaneously enhancing image sequences and tracking the objects of interest represented by the latter. The enhancement part of the algorithm is based on Bayesian wavelet denoising, which has been chosen due to its exceptional ability to incorporate diverse a priori information into the process of image recovery. In particular, we demonstrate that, in dynamic settings, useful statistical priors can come both from some reasonable assumptions on the properties of the image to be enhanced as well as from the images that have already been observed before the current scene. Using such priors forms the main contribution of the present paper which is the proposal of the dynamic denoising as a tool for simultaneously enhancing and tracking image sequences. Within the proposed framework, the previous observations of a dynamic scene are employed to enhance its present observation. The mechanism that allows the fusion of the information within successive image frames is Bayesian estimation, while transferring the useful information between the images is governed by a Kalman filter that is used for both prediction and estimation of the dynamics of tracked objects. Therefore, in this methodology, the processes of target tracking and image enhancement ""collaborate"" in an interlacing manner, rather than being applied separately. The dynamic denoising is demonstrated on several examples of SAR imagery. The results demonstrated in this paper indicate a number of advantages of the proposed dynamic denoising over ""static"" approaches, in which the tracking images are enhanced independently of each other.";3
A Variational Method for Geometric Regularization of Vascular Segmentation in Medical Images;"biomedical mri; geometry; image segmentation; medical image processing; set theory; 2d retinal angiogram images; anisotropic propagation; level-set-based geometric regularization method; magnetic resonance angiography volumetric data sets; medical images; shape induced information; variational method; vascular segmentation; vessel segmentation; anisotropic propagation; blood vessel segmentation; energy optimization; shape analysis; surface evolution; algorithms; artificial intelligence; fluorescein angiography; humans; image enhancement; image interpretation, computer-assisted; pattern recognition, automated; reproducibility of results; retinal vessels; retinoscopy; sensitivity and specificity;""";In this paper, a level-set-based geometric regularization method is proposed which has the ability to estimate the local orientation of the evolving front and utilize it as shape induced information for anisotropic propagation. We show that preserving anisotropic fronts can improve elongations of the extracted structures, while minimizing the risk of leakage. To that end, for an evolving front using its shape-offset level-set representation, a novel energy functional is defined. It is shown that constrained optimization of this functional results in an anisotropic expansion flow which is useful for vessel segmentation. We have validated our method using synthetic data sets, 2-D retinal angiogram images and magnetic resonance angiography volumetric data sets. A comparison has been made with two state-of-the-art vessel segmentation methods. Quantitative results, as well as qualitative comparisons of segmentations, indicate that our regularization method is a promising tool to improve the efficiency of both techniques.;3
Automatic Active Model Initialization via Poisson Inverse Gradient;"gradient methods; image segmentation; stochastic processes; pig initialization method; poisson inverse gradient; automatic active model initialization; image processing applications; image segmentation; rapid convergence; superior noise robustness; active contours; poisson inverse gradient; poisson&#039;s equation; active models; active surfaces; deformable models; deformable surfaces; initialization; snakes; algorithms; artificial intelligence; computer simulation; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; models, statistical; pattern recognition, automated; poisson distribution; reproducibility of results; sensitivity and specificity;""";Active models have been widely used in image processing applications. A crucial stage that affects the ultimate active model performance is initialization. This paper proposes a novel automatic initialization approach for parametric active models in both 2-D and 3-D. The PIG initialization method exploits a novel technique that essentially estimates the external energy field from the external force field and determines the most likely initial segmentation. Examples and comparisons with two state-of-the-art automatic initialization methods are presented to illustrate the advantages of this innovation, including the ability to choose the number of active models deployed, rapid convergence, accommodation of broken edges, superior noise robustness, and segmentation accuracy.;3
Cost Aggregation and Occlusion Handling With WLS in Stereo Matching;"computational complexity; computer graphics; costing; image matching; image resolution; interpolation; iterative methods; least squares approximations; stereo image processing; gauss-seidel method; adaptive interpolation; cost aggregation; energy function; iterative equation; occlusion handling; optimal cost estimation; per-pixel difference image; stereo matching; weighted least squares; cost aggregation; multiscale approach; occlusion handling; stereo vision; weighted least square; algorithms; artificial intelligence; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; information storage and retrieval; least-squares analysis; models, statistical; pattern recognition, automated; photogrammetry; reproducibility of results; sensitivity and specificity;""";This paper presents a novel method for cost aggregation and occlusion handling for stereo matching. In order to estimate optimal cost, given a per-pixel difference image as observed data, we define an energy function and solve the minimization problem by solving the iterative equation with the numerical method. We improve performance and increase the convergence rate by using several acceleration techniques such as the Gauss-Seidel method, the multiscale approach, and adaptive interpolation. The proposed method is computationally efficient since it does not use color segmentation or any global optimization techniques. For occlusion handling, which has not been performed effectively by any conventional cost aggregation approaches, we combine the occlusion problem with the proposed minimization scheme. Asymmetric information is used so that few additional computational loads are necessary. Experimental results show that performance is comparable to that of many state-of-the-art methods. The proposed method is in fact the most successful among all cost aggregation methods based on standard stereo test beds.;3
Minimization of Region-Scalable Fitting Energy for Image Segmentation;"approximation theory; curve fitting; edge detection; image motion analysis; image segmentation; minimisation; set theory; contour motion; curve evolution equation; data fitting energy; image intensity approximation; image segmentation; kernel function; level set regularization; real-world image intensity inhomogeneity; region-based active contour model; region-scalable fitting energy minimization; variational level set formulation; active contours; active shape model; data mining; equations; image edge detection; image segmentation; kernel; level set; mathematics; robustness; image segmentation; intensity inhomogeneity; level set method; region-scalable fitting energy; variational method; algorithms; artificial intelligence; image enhancement; image interpretation, computer-assisted; pattern recognition, automated; reproducibility of results; sensitivity and specificity;""";Intensity inhomogeneities often occur in real-world images and may cause considerable difficulties in image segmentation. In order to overcome the difficulties caused by intensity inhomogeneities, we propose a region-based active contour model that draws upon intensity information in local regions at a controllable scale. A data fitting energy is defined in terms of a contour and two fitting functions that locally approximate the image intensities on the two sides of the contour. This energy is then incorporated into a variational level set formulation with a level set regularization term, from which a curve evolution equation is derived for energy minimization. Due to a kernel function in the data fitting term, intensity information in local regions is extracted to guide the motion of the contour, which thereby enables our model to cope with intensity inhomogeneity. In addition, the regularity of the level set function is intrinsically preserved by the level set regularization term to ensure accurate computation and avoids expensive reinitialization of the evolving level set function. Experimental results for synthetic and real images show desirable performances of our method.;3
Multistage Branch-and-Bound Merging for Planar Surface Segmentation in Disparity Space;"image segmentation; iterative methods; stereo image processing; disparity image; disparity space; iterative split-and-merge framework; maximum variance constraint; multistage branch-and-bound merging; multistage merging estimation; planar surface segmentation; stereo image data; combinatorial optimization; image segmentation; object detection; stereo vision; algorithms; artificial intelligence; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; pattern recognition, automated; reproducibility of results; sensitivity and specificity;""";An iterative split-and-merge framework for the segmentation of planar surfaces in the disparity space is presented. Disparity of a scene is modeled by approximating various surfaces in the scene to be planar. In the split phase, the number of planar surfaces along with the underlying plane parameters is assumed to be known from the initialization or from the previous merge phase. Based on these parameters, planar surfaces in the disparity image are labeled to minimize the residuals between the actual disparity and the modeled disparity. The labeled planar surfaces are separated into spatially continuous regions which are treated as candidates for the merging that follows. The regions are merged together under a maximum variance constraint while maximizing the merged area. A multistage branch-and-bound algorithm is proposed to carry out this optimization efficiently. Each stage of the branch-and-bound algorithm separates a planar surface from the set of spatially continuous regions. The multistage merging estimates the number of planar surfaces and their labeling. The splitting and the multistage merging is repeated till convergence is reached or satisfactory results are achieved. Experimental results are presented for variety of stereo image data.;3
"A Multiresolution Stochastic Level Set Method for Mumford&#x2013;Shah Image Segmentation";"image resolution; image segmentation; simulated annealing; stochastic programming; mumford-shah image segmentation; basin hopping; multiresolution stochastic level set; region splitting; simulated annealing; stochastic methods; stochastic optimization; computational efficiency; computational modeling; heart; image resolution; image segmentation; level set; optimization methods; simulated annealing; spatial resolution; stochastic processes; basin hopping; mumford&amp;#x2013;shah model; global optimization; image segmentation; region splitting and merging; stochastic level set method; algorithms; artificial intelligence; computer simulation; image enhancement; image interpretation, computer-assisted; models, statistical; pattern recognition, automated; reproducibility of results; sensitivity and specificity; stochastic processes;""";The Mumford-Shah model is one of the most successful image segmentation models. However, existing algorithms for the model are often very sensitive to the choice of the initial guess. To make use of the model effectively, it is essential to develop an algorithm which can compute a global or near global optimal solution efficiently. While gradient descent based methods are well-known to find a local minimum only, even many stochastic methods do not provide a practical solution to this problem either. In this paper, we consider the computation of a global minimum of the multiphase piecewise constant Mumford-Shah model. We propose a hybrid approach which combines gradient based and stochastic optimization methods to resolve the problem of sensitivity to the initial guess. At the heart of our algorithm is a well-designed basin hopping scheme which uses global updates to escape from local traps in a way that is much more effective than standard stochastic methods. In our experiments, a very high-quality solution is obtained within a few stochastic hops whereas the solutions obtained with simulated annealing are incomparable even after thousands of steps. We also propose a multiresolution approach to reduce the computational cost and enhance the search for a global minimum. Furthermore, we derived a simple but useful theoretical result relating solutions at different spatial resolutions.;3
A Region Merging Prior for Variational Level Set Image Segmentation;"curve fitting; image segmentation; active contours; curve evolution; image segmentation; level sets; region merging; councils; equations; image segmentation; level set; merging; motion estimation; testing; tracking; active contours; image segmentation; level sets; segmentation prior; algorithms; artificial intelligence; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; pattern recognition, automated; reproducibility of results; sensitivity and specificity; subtraction technique;""";In current level set image segmentation methods, the number of regions is assumed to known beforehand. As a result, it remains constant during the optimization of the objective functional. How to allow it to vary is an important question which has been generally avoided. This study investigates a region merging prior related to regions area to allow the number of regions to vary automatically during curve evolution, thereby optimizing the objective functional implicitly with respect to the number of regions. We give a statistical interpretation to the coefficient of this prior to balance its effect systematically against the other functional terms. We demonstrate the validity and efficiency of the method by testing on real images of intensity, color, and motion.;3
The solutions of equation-based noise detector for an adaptive median filter;"noise detection; equation; impulse noise; median filter;";"Techniques of noise detection have been widely applied in impulse noise reduction. However, the phenomenon of pixel misclassification is very obvious in high noise density. In order to improve pixel identification, in this paper, the new noise detector is proposed. Based on solutions of equations, an estimated block of every 8&times;88&times;8 block of a noise image is generated. Then, according to relationships between these noise blocks and their estimated blocks, corrupted and uncorrupted pixels are identified. During image filtering, a noise-detection-based adaptive median algorithm is presented. Experimental results show that the proposed filter can well reduce the impulse noise and preserve more details of original images.";4
Improved Bayesian image denoising based on wavelets with applications to electron microscopy;"image denoising; bayesian filtering; wavelets;";"In this work we discuss an improvement of the image-denoising wavelet-based method presented by Bijaoui [Wavelets, Gaussian mixtures and Wiener filtering, Signal Process. 82 (2002) 709&ndash;712]. We show that the parameter estimation step can be replaced by a constrained nonlinear optimization. We propose three different methods to estimate the parameters. As in Bijaouis original article, two of them deal with white noise. We show that the resulting algorithms improve the one originally proposed. Our third method extends the applicability of the denoising algorithm to colored noise. We test our algorithms with images simulating electron microscopy (EM) conditions as well as experimental EM images.";4
Adaptive Bilateral Filter for Sharpness Enhancement and Noise Removal;"adaptive filters; edge detection; image denoising; image enhancement; image restoration; image texture; statistical analysis; adaptive bilateral filter; edge detection; edge profile extraction; histogram; image noise removal; image sharpness enhancement; image texture; slope image restoration; unsharp mask; bilateral filter; de-blurring; noise removal; range filter; sharpness enhancement; slope restoration; algorithms; artifacts; artificial intelligence; computer graphics; image enhancement; image interpretation, computer-assisted; information storage and retrieval; numerical analysis, computer-assisted; pattern recognition, automated; reproducibility of results; sensitivity and specificity; signal processing, computer-assisted;""";In this paper, we present the adaptive bilateral filter (ABF) for sharpness enhancement and noise removal. The ABF sharpens an image by increasing the slope of the edges without producing overshoot or undershoot. It is an approach to sharpness enhancement that is fundamentally different from the unsharp mask (USM). This new approach to slope restoration also differs significantly from previous slope restoration algorithms in that the ABF does not involve detection of edges or their orientation, or extraction of edge profiles. In the ABF, the edge slope is enhanced by transforming the histogram via a range filter with adaptive offset and width. The ABF is able to smooth the noise, while enhancing edges and textures in the image. The parameters of the ABF are optimized with a training procedure. ABF restored images are significantly sharper than those restored by the bilateral filter. Compared with an USM based sharpening method-the optimal unsharp mask (OUM), ABF restored edges are as sharp as those rendered by the OUM, but without the halo artifacts that appear in the OUM restored image. In terms of noise removal, ABF also outperforms the bilateral filter and the OUM. We demonstrate that ABF works well for both natural images and text images.;4
Algorithmic and Architectural Optimizations for Computationally Efficient Particle Filtering;"convex programming; image sequences; optical tracking; particle filtering (numerical methods); pipeline processing; sampling methods; video signal processing; convex program; independent metropolis hastings sampler; nongaussian noise process; nonlinear dynamical system filtering; particle filtering algorithm; pipelined architectural optimization; video sequences; visual tracking; auxillary variable; monte carlo markov chain (mcmc); design methodologies; particle filter; resampling; visual tracking; algorithms; artificial intelligence; computer simulation; data compression; image enhancement; image interpretation, computer-assisted; models, statistical; pattern recognition, automated; reproducibility of results; sensitivity and specificity; signal processing, computer-assisted; video recording;""";In this paper, we analyze the computational challenges in implementing particle filtering, especially to video sequences. Particle filtering is a technique used for filtering nonlinear dynamical systems driven by non-Gaussian noise processes. It has found widespread applications in detection, navigation, and tracking problems. Although, in general, particle filtering methods yield improved results, it is difficult to achieve real time performance. In this paper, we analyze the computational drawbacks of traditional particle filtering algorithms, and present a method for implementing the particle filter using the Independent Metropolis Hastings sampler, that is highly amenable to pipelined implementations and parallelization. We analyze the implementations of the proposed algorithm, and, in particular, concentrate on implementations that have minimum processing times. It is shown that the design parameters for the fastest implementation can be chosen by solving a set of convex programs. The proposed computational methodology was verified using a cluster of PCs for the application of visual tracking. We demonstrate a linear speedup of the algorithm using the methodology proposed in the paper.;4
An Orientation-Selective Orthogonal Lapped Transform;"hartley transforms; data compression; filtering theory; image coding; image denoising; image texture; iterative methods; statistical analysis; 2d block hartley transform; biorthogonal transform; cosine wave; image compression; iterative filter; lapped hartley transform; modulating basis functions; noise removal; orientation-selective orthogonal lapped transform; oriented textures; overlapping basis functions; statistical analysis; synthesis operation; lapped transform; local orientation; transform coding; algorithms; image enhancement; image interpretation, computer-assisted; reproducibility of results; sensitivity and specificity;""";A novel critically sampled orientation-selective orthogonal lapped transform called the lapped Hartley transform (LHT) is derived. In a first step, overlapping basis functions are generated by modulating basis functions of a 2-D block Hartley transform by a cosine wave. To achieve invertibility and orthogonality, an iterative filter is applied as prefilter in the analysis and as postfilter in the synthesis operation, respectively. Alternatively, filtering can be restricted to analysis or synthesis, ending up with a biorthogonal transform (LHT-PR, LHT-PO). A statistical analysis based on a 4000-image data base shows that the LHT and LHT-PO have better redundancy removal properties than other block or lapped transforms. Finally, image compression and noise removal examples are given, showing the advantages of the LHT especially in images containing oriented textures.;4
Noise and Signal Estimation in Magnitude MRI and Rician Distributed Images: A LMMSE Approach;"filtering theory; image denoising; least mean squares methods; magnetic resonance imaging; statistical distributions; lmmse approach; rayleigh model; rician model; image noise filtering; linear minimum mean square error estimator; local sample statistical distribution; magnetic resonance imaging; magnitude mri; probability density function; linear minimum mean square error (lmmse) estimator; mri filtering; rician noise; noise estimation; algorithms; artifacts; brain; data interpretation, statistical; image enhancement; image interpretation, computer-assisted; least-squares analysis; magnetic resonance imaging; models, statistical; reproducibility of results; sensitivity and specificity;""";A new method for noise filtering in images that follow a Rician model-with particular attention to magnetic resonance imaging-is proposed. To that end, we have derived a (novel) closed-form solution of the linear minimum mean square error (LMMSE) estimator for this distribution. Additionally, a set of methods that automatically estimate the noise power are developed. These methods use information of the sample distribution of local statistics of the image, such as the local variance, the local mean, and the local mean square value. Accordingly, the dynamic estimation of noise leads to a recursive version of the LMMSE, which shows a good performance in both noise cleaning and feature preservation. This paper also includes the derivation of the probability density function of several local sample statistics for the Rayleigh and Rician model, upon which the estimators are built.;4
Noniterative Interpolation-Based Super-Resolution Minimizing Aliasing in the Reconstructed Image;"image reconstruction; image resolution; interpolation; iterative methods; mesh generation; splines (mathematics); b-splines; delaunay triangulation; image reconstruction; interpolation problem; inverse problem; iterative methods; low-resolution undersampled images; noniterative interpolation; point spread function; point spread function imaging system; sampling theory; super-resolution minimizing aliasing; data models; image reconstruction; image resolution; image restoration; image sampling; interpolation; sampling methods; signal resolution; spline; strontium; image reconstruction; inverse problem; nonuniform sampling; super-resolution; algorithms; artifacts; image enhancement; image interpretation, computer-assisted; reproducibility of results; sensitivity and specificity; subtraction technique;""";Super-resolution (SR) techniques produce a high-resolution image from a set of low-resolution undersampled images. In this paper, we propose a new method for super-resolution that uses sampling theory concepts to derive a noniterative SR algorithm. We first raise the issue of the validity of the data model usually assumed in SR, pointing out that it imposes a band-limited reconstructed image plus a certain type of noise. We propose a sampling theory framework with a prefiltering step that allows us to work with more general data models and also a specific new method for SR that uses Delaunay triangulation and B-splines to build the super-resolved image. The proposed method is noniterative and well posed. We prove its effectiveness against traditional iterative and noniterative SR methods on synthetic and real data. Additionally, we also prove that we can first solve the interpolation problem and then make the deblurring not only when the motion is translational but also when there are rotations and shifts and the imaging system point spread function (PSF) is rotationally symmetric.;4
Multiresolution Bilateral Filtering for Image Denoising;"channel bank filters; image denoising; image resolution; nonlinear filters; wavelet transforms; image denoising; multiresolution bilateral filtering; nonlinear filter; optimal bilateral filter parameter selection; wavelet filter bank; wavelet thresholding; colored noise; filter bank; filtering; image denoising; image resolution; least squares approximation; low-frequency noise; signal resolution; spatial resolution; temperature sensors; algorithms; artifacts; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; reproducibility of results; sensitivity and specificity; signal processing, computer-assisted;""";"The bilateral filter is a nonlinear filter that does spatial averaging without smoothing edges; it has shown to be an effective image denoising technique. An important issue with the application of the bilateral filter is the selection of the filter parameters, which affect the results significantly. There are two main contributions of this paper. The first contribution is an empirical study of the optimal bilateral filter parameter selection in image denoising applications. The second contribution is an extension of the bilateral filter: multiresolution bilateral filter, where bilateral filtering is applied to the approximation (low-frequency) subbands of a signal decomposed using a wavelet filter bank. The multiresolution bilateral filter is combined with wavelet thresholding to form a new image denoising framework, which turns out to be very effective in eliminating noise in real noisy images. Experimental results with both simulated and real data are provided.";4
Face recognition from a single image per person: A survey;"face recognition; single training image per person;";"One of the main challenges faced by the current face recognition techniques lies in the difficulties of collecting samples. Fewer samples per person mean less laborious effort for collecting them, lower cost for storing and processing them. Unfortunately, many reported face recognition techniques rely heavily on the size and representative of training set, and most of them will suffer serious performance drop or even fail to work if only one training sample per person is available to the systems. This situation is called &ldquo;one sample per person&rdquo; problem: given a stored database of faces, the goal is to identify a person from the database later in time in any different and unpredictable poses, lighting, etc. from just one image. Such a task is very challenging for most current algorithms due to the extremely limited representative of training sample. Numerous techniques have been developed to attack this problem, and the purpose of this paper is to categorize and evaluate these algorithms. The prominent algorithms are described and critically analyzed. Relevant issues such as data collection, the influence of the small sample size, and system evaluation are discussed, and several promising directions for future research are also proposed in this paper.";1
Techniques for the segmentation of striation patterns;"image segmentation; image texture; anisotropy analysis; forensic science; image processing techniques; striation patterns segmentation; anisotropic magnetoresistance; azimuth; forensics; image databases; image processing; image segmentation; light sources; lighting; qualifications; robustness; anisotropy analysis; forensic science; illumination series; image fusion; oriented patterns; striation patterns; algorithms; forensic sciences; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; information storage and retrieval; pattern recognition, automated;""";In this contribution, image processing techniques are investigated to robustly segment faint striation patterns from mainly isotropic background areas. Whereas well-known procedures to determine local anisotropy can be applied directly to single images, this paper describes an alternative strategy that uses an illumination series. The series is obtained with a spot illumination whose azimuth is varied systematically. The technique is based on the characteristics of the local contrast with respect to the azimuth of the illumination: Whereas pronounced maxima of the local contrast can be observed when the striae are illuminated perpendicularly, an isotropic background texture shows less distinct maxima for random azimuth angles. The qualification of the approach is demonstrated on the segmentation of faint tool marks in forensic science. Experimental results show that the methodology ensures the correct segmentation of such marks.;3
Classification of image objects in Epo doping control using fuzzy decision tree;"epo doping control; fuzzy decision tree; image segmentation; machine learning classification;";"Erythropoietin (Epo) is a hormone which can be misused as a doping substance. Its detection involves analysis of images containing specific objects (bands), whose position and intensity are critical for doping positivity. Within a research project of the World Anti-Doping Agency (WADA) we are implementing the GASepo software that serves for Epo testing in doping control laboratories worldwide. For identification of the bands we have developed a segmentation procedure based on a sequence of filters. Whereas all true bands are properly segmented, the procedure generates a number of false positives (artefacts). To separate these artefacts we suggested a post-segmentation supervised classification using real-valued geometrical measures of objects. The method is based on a fuzzy modification of Ross Quinlan_s ID3 method, included in the mlf"" software (Machine Learning Framework). It provides a framework that generates fuzzy decision trees, as well as fuzzy sets for input data. Initially used training set of segmented objects has been replaced by a new one prepared by more accurate expertise using the latest release of the GASepo software. The new fuzzy decision trees (FDT) have been generated for a set of five and nine fuzzy sets. The comparison of the results on testing set of segmented objects shows that the classification based on the new FDTs outperforms other classification methods.";3
Localizing Region-Based Active Contours;"feature extraction; image segmentation; statistical analysis; global image statistics; heterogeneous feature profiles; image segmentation; objects segmentation; region-based active contours localization; standard global method; active contours; curve evolution; image segmentation; level set methods; multiregion segmentation; partial differential equations; algorithms; artificial intelligence; image enhancement; image interpretation, computer-assisted; pattern recognition, automated; reproducibility of results; sensitivity and specificity;""";In this paper, we propose a natural framework that allows any region-based segmentation energy to be re-formulated in a local way. We consider local rather than global image statistics and evolve a contour based on local information. Localized contours are capable of segmenting objects with heterogeneous feature profiles that would be difficult to capture correctly using a standard global method. The presented technique is versatile enough to be used with any global region-based active contour energy and instill in it the benefits of localization. We describe this framework and demonstrate the localization of three well-known energies in order to illustrate how our framework can be applied to any energy. We then compare each localized energy to its global counterpart to show the improvements that can be achieved. Next, an in-depth study of the behaviors of these energies in response to the degree of localization is given. Finally, we show results on challenging images to illustrate the robust and accurate segmentations that are possible with this new class of active contour models.;3
Monte-Carlo Sure: A Black-Box Optimization of Regularization Parameters for General Denoising Algorithms;"gaussian noise; monte carlo methods; image denoising; image restoration; mean square error methods; optimisation; risk analysis; monte-carlo sure; stein unbiased risk estimate; black-box optimization; corrupted signal restoration; image-denoising algorithm; mean-squared error; regularization parameter; signal denoising algorithm; white gaussian noise; bayesian methods; biomedical measurements; filtering algorithms; gaussian noise; image restoration; noise measurement; noise reduction; signal restoration; smoothing methods; wiener filter; monte-carlo methods; stein&#039;s unbiased risk estimate (sure); regularization parameter; smoothing splines; total-variation denoising; wavelet denoising; algorithms; artifacts; computer simulation; data interpretation, statistical; image enhancement; image interpretation, computer-assisted; models, statistical; monte carlo method; reproducibility of results; sensitivity and specificity;""";We consider the problem of optimizing the parameters of a given denoising algorithm for restoration of a signal corrupted by white Gaussian noise. To achieve this, we propose to minimize Steins unbiased risk estimate (SURE) which provides a means of assessing the true mean-squared error (MSE) purely from the measured data without need for any knowledge about the noise-free signal. Specifically, we present a novel Monte-Carlo technique which enables the user to calculate SURE for an arbitrary denoising algorithm characterized by some specific parameter setting. Our method is a black-box approach which solely uses the response of the denoising operator to additional input noise and does not ask for any information about its functional form. This, therefore, permits the use of SURE for optimization of a wide variety of denoising algorithms. We justify our claims by presenting experimental results for SURE-based optimization of a series of popular image-denoising algorithms such as total-variation denoising, wavelet soft-thresholding, and Wiener filtering/smoothing splines. In the process, we also compare the performance of these methods. We demonstrate numerically that SURE computed using the new approach accurately predicts the true MSE for all the considered algorithms. We also show that SURE uncovers the optimal values of the parameters in all cases.;4
Semidefinite spectral clustering;"clustering; convex optimization; multi-way graph equipartitioning; semidefinite programming; spectral clustering;";Multi-way partitioning of an undirected weighted graph where pairwise similarities are assigned as edge weights, provides an important tool for data clustering, but is an NP-hard problem. Spectral relaxation is a popular way of relaxation, leading to spectral clustering where the clustering is performed by the eigen-decomposition of the (normalized) graph Laplacian. On the other hand, semidefinite relaxation, is an alternative way of relaxing a combinatorial optimization, leading to a convex optimization. In this paper we employ a semidefinite programming (SDP) approach to the graph equipartitioning for clustering, where sufficient conditions for strong duality hold. The method is referred to as semidefinite spectral clustering, where the clustering is based on the eigen-decomposition of the optimal feasible matrix computed by SDP. Numerical experiments with several data sets, demonstrate the useful behavior of our semidefinite spectral clustering, compared to existing spectral clustering methods.;1
Improved quality of reconstructed images using floating point arithmetic for moment calculation;"geometric moments; zernike moments; pattern recognition; feature extraction; image reconstruction;";Zernike moments which are superior to geometric moments because of their special properties of image reconstruction and immunity to noise, suffer from several discretization errors. These errors lead to poor quality of reconstructed image and wide variations in the numerical values of the moments. The predominant factor, as observed in this paper, is due to the discrete integer implementation of the steps involved in moment calculation. It is shown in this paper that by modifying the algorithms to include discrete float implementation, the quality of the reconstructed image improves significantly and the first-order moment becomes zero. Low-order Zernike moments have been found to be stable under linear transformations while the high-order moments have large variations. The large variations in high-order moments, however, do not greatly affect the quality of the reconstructed image, implying that they should be ignored when numerical values of moments are used as features. The 11 functions based on geometric moments have also been found to be stable under linear transformations and thus these can be used as features. Pixel level analysis of the images has been carried out to strengthen the results.;1
A novel approach to the fast computation of Zernike moments;"zernike moments; fast method; symmetry/anti-symmetry; discrete zernike moments;";"This paper presents a novel approach to the fast computation of Zernike moments from a digital image. Most existing fast methods for computing Zernike moments have focused on the reduction of the computational complexity of the Zernike 1-D radial polynomials by introducing their recurrence relations. Instead, in our proposed method, we focus on the reduction of the complexity of the computation of the 2-D Zernike basis functions. As Zernike basis functions have specific symmetry or anti-symmetry about the x-axis, the y &#xA0;-axis, the origin, and the straight line y=xy=x, we can generate the Zernike basis functions by only computing one of their octants. As a result, the proposed method makes the computation time eight times faster than existing methods. The proposed method is applicable to the computation of an individual Zernike moment as well as a set of Zernike moments. In addition, when computing a series of Zernike moments, the proposed method can be used with one of the existing fast methods for computing Zernike radial polynomials. This paper also presents an accurate form of Zernike moments for a discrete image function. In the experiments, results show the accuracy of the form for computing discrete Zernike moments and confirm that the proposed method for the fast computation of Zernike moments is much more efficient than existing fast methods in most cases.";3
A fuzzy logic approach for detection of video shot boundaries;"temporal video segmentation; shot cut detection; shot-boundary detection; content-based video processing;";Video temporal segmentation is normally the first and important step for content-based video applications. Many features including the pixel difference, colour histogram, motion, and edge information etc. have been widely used and reported in the literature to detect shot cuts inside videos. Although existing research on shot cut detection is active and extensive, it still remains a challenge to achieve accurate detection of all types of shot boundaries with one single algorithm. In this paper, we propose a fuzzy logic approach to integrate hybrid features for detecting shot boundaries inside general videos. The fuzzy logic approach contains two processing modes, where one is dedicated to detection of abrupt shot cuts including those short dissolved shots, and the other for detection of gradual shot cuts. These two modes are unified by a mode-selector to decide which mode the scheme should work on in order to achieve the best possible detection performances. By using the publicly available test data set from Carleton University, extensive experiments were carried out and the test results illustrate that the proposed algorithm outperforms the representative existing algorithms in terms of the precision and recall rates.;3
Fuzzy Cognitive Maps for stereovision matching;"fuzzy cognitive maps; fuzzy clustering; relaxation; fuzzy; stereovision; matching; similarity; smoothness; ordering; epipolar; uniqueness;";This paper outlines a method for solving the stereovision matching problem using edge segments as the primitives. In stereovision matching the following constraints are commonly used: epipolar, similarity, smoothness, ordering and uniqueness. We propose a new matching strategy under a fuzzy context in which such constraints are mapped. The fuzzy context integrates both Fuzzy Clustering and Fuzzy Cognitive Maps. With such purpose a network of concepts (nodes) is designed, each concept represents a pair of primitives to be matched. Each concept has associated a fuzzy value which determines the degree of the correspondence. The goal is to achieve high performance in terms of correct matches. The main findings of this paper are reflected in the use of the fuzzy context that allows building the network of concepts where the matching constraints are mapped. Initially, each concept value is loaded via the Fuzzy Clustering and then updated by the Fuzzy Cognitive Maps framework. This updating is achieved through the influence of the remainder neighboring concepts until a good global matching solution is achieved. Under this fuzzy approach we gain quantitative and qualitative matching correspondences. This method works as a relaxation matching approach and its performance is illustrated by comparative analysis against some existing global matching methods.;1
A study of identical twins_ palmprints for personal verification;"identical twins; palmprint; biometric; personal identification;";Automatic biometric systems based on human characteristics for personal identification have attracted great attention. Their performance highly depends on the distinctive information in the biometrics. Identical twins having the closest genetics-based relationship are expected to have maximum similarity in their biometrics. Classifying identical twins is a challenging problem for some automatic biometric systems. Palmprint has been studied for personal identification for over seven years. Most of the previous research concentrates on algorithm development. In this paper, we systemically examine palmprints from the same DNA for automatic personal identification and to uncover the genetically related palmprint features. The experimental results show that the three principal lines and some portions of weak lines are genetically related features but our palms still contain rich genetically unrelated features for classifying identical twins.;3
